name,n_trials,n_sw_trials,n_vsw_trials,n_L_trials,n_R_trials,pct_correct,pct_sw_correct,pct_vsw_correct,pct_L_correct,pct_R_correct,task,subject,n_units,n_cells,n_mua,session
s2se14,13,9,7,8,5,0.8333333333333334,0.8888888888888888,1.0,0.75,0.8,T3g,Cl,1,0,1,Cl_T3g_120118
s2se17,98,33,21,47,51,0.7446808510638298,0.8181818181818182,0.9047619047619048,0.8297872340425532,0.6078431372549019,T3g,Cl,27,10,17,Cl_T3g_120318
s2se20,136,72,52,81,55,0.7555555555555555,0.8333333333333334,0.8653846153846154,0.8024691358024691,0.6727272727272727,T3g,Cl,21,9,12,Cl_T3g_120418
s2se22,128,62,54,71,57,0.8346456692913385,0.8870967741935484,0.8888888888888888,0.9295774647887324,0.7017543859649122,T3g,Cl,29,20,9,Cl_T3g_120518
s2se24,154,69,49,76,78,0.7254901960784313,0.7971014492753623,0.8571428571428571,0.7105263157894737,0.7307692307692307,T3g,Cl,32,14,18,Cl_T3g_120618
s2se25,134,74,54,65,69,0.7272727272727273,0.7702702702702703,0.8148148148148148,0.7846153846153846,0.6521739130434783,T3g,Cl,23,8,15,Cl_T3g_120718
s2se28,101,54,43,51,50,0.8,0.8518518518518519,0.9534883720930232,0.8235294117647058,0.76,T3g,Cl,33,11,22,Cl_T3g_120918
s2se30,136,67,56,63,73,0.762962962962963,0.835820895522388,0.8928571428571429,0.7301587301587301,0.7808219178082192,T3g,Cl,31,9,22,Cl_T3g_121118
s2se32,94,44,39,45,49,0.7446808510638298,0.8181818181818182,0.8717948717948718,0.7111111111111111,0.7755102040816326,T3g,Cl,19,9,10,Cl_T3g_121218
s2se34,140,61,47,86,54,0.7985611510791367,0.9016393442622952,0.8723404255319149,0.872093023255814,0.6666666666666666,T3g,Cl,1,0,1,Cl_T3g_121318
s2se36,40,23,19,17,23,0.825,0.8260869565217391,0.8947368421052632,0.7647058823529411,0.8695652173913043,T3g,Cl,10,2,8,Cl_T3g_121418
s2se37,95,44,34,45,50,0.7684210526315789,0.8181818181818182,0.9117647058823528,0.8,0.74,T3g,Cl,12,3,9,Cl_T3g_121418_0
s2se39,119,54,42,58,61,0.7542372881355932,0.8333333333333334,0.8809523809523809,0.7931034482758621,0.7049180327868853,T3g,Cl,11,2,9,Cl_T3g_121718
s2se41,151,70,52,69,82,0.7333333333333333,0.8285714285714286,0.8653846153846154,0.6811594202898551,0.7682926829268293,T3g,Cl,10,2,8,Cl_T3g_121818
s2se46,176,81,70,94,82,0.8514285714285714,0.9382716049382716,0.9571428571428572,0.8297872340425532,0.8658536585365854,T3g,Cl,16,4,12,Cl_T3g_122118
s2se47,153,80,70,68,85,0.8552631578947368,0.9375,0.9714285714285714,0.8382352941176471,0.8588235294117647,T3g,Cl,16,4,12,Cl_T3g_122218
s2se49,58,28,20,30,28,0.6428571428571429,0.75,0.8,0.6333333333333333,0.6071428571428571,T3g,Cl,17,7,10,Cl_T3g_122818
s2se51,69,35,22,36,33,0.6911764705882353,0.8,0.9545454545454546,0.6666666666666666,0.696969696969697,T3g,Cl,16,8,8,Cl_T3g_123118
s2se53,160,77,64,76,84,0.8125,0.8961038961038961,0.9375,0.7763157894736842,0.8452380952380952,T3g,Cl,20,7,13,Cl_T3g_010619
s2se56,157,82,65,80,77,0.8141025641025641,0.8536585365853658,0.8615384615384616,0.775,0.8441558441558441,T3g,Cl,20,6,14,Cl_T3g_010819
s2se58,208,101,87,98,110,0.8164251207729468,0.8811881188118812,0.896551724137931,0.826530612244898,0.8,T3g,Cl,14,7,7,Cl_T3g_010919
s2se59,240,121,94,131,109,0.803347280334728,0.8264462809917356,0.8617021276595744,0.8625954198473282,0.7247706422018348,T3g,Cl,3,0,3,Cl_T3g_011019
s2se61,124,58,46,57,67,0.8211382113821138,0.9482758620689656,0.9782608695652174,0.7543859649122807,0.8656716417910447,T3g,Cl,19,6,13,Cl_T3g_011419
s2se64,127,63,55,69,58,0.8188976377952756,0.9047619047619048,0.9454545454545454,0.7536231884057971,0.896551724137931,T3g,Cl,21,8,13,Cl_T3g_011519
s2se66,177,101,81,82,95,0.8135593220338984,0.8415841584158416,0.8395061728395061,0.8292682926829268,0.8,T3g,Cl,14,6,8,Cl_T3g_011619
s2se72,224,121,108,109,115,0.8789237668161435,0.8925619834710744,0.9166666666666666,0.8532110091743119,0.8956521739130435,T3g,Cl,24,8,16,Cl_T3g_012419
s2se74,219,99,88,118,101,0.8949771689497716,0.9393939393939394,0.9318181818181818,0.8898305084745762,0.900990099009901,T3g,Cl,16,6,10,Cl_T3g_012519
s2se76,136,68,50,73,63,0.7867647058823529,0.7941176470588235,0.9,0.7808219178082192,0.7936507936507936,T3g,Cl,13,2,11,Cl_T3g_012819
s2se77,216,100,82,109,107,0.8744186046511628,0.91,0.902439024390244,0.926605504587156,0.8130841121495327,T3g,Cl,16,4,12,Cl_T3g_012919
s2se78,190,86,73,104,86,0.8571428571428571,0.8953488372093024,0.9452054794520548,0.9134615384615384,0.7790697674418605,T3g,Cl,7,4,3,Cl_T3g_013019
